Exercise,Utility,Mechanics,Force,Instructions,Muscle
lever shoulder internal rotation,auxiliary,isolated,pull,"Place elbow on forearm pad and grasp handle with upper arm to side of body and forearm away from body.
pull lever toward from body. return and repeat. adjust lever to opposite side and repeat with other arm.",subscapularis
lever upright shoulder internal rotation,auxiliary,isolated,pull,"Primary lever should be positioned back with lever handle resting forward on elbow pad. Lift lever handle and sit on seat with arm pads and lever to side. Place elbow in elbow pads at shoulder height and grip handle with over hand grip so forearm is orientated upward and back. With opposite hand, grasp seat handle if available, for added stability.
pull lever handle forward and downward as far as possible by rotating upper arm. allow lever to return to original position. repeat. continue with opposite arm.",subscapularis
barbell close grip bent-over row,basic or auxiliary,compound,pull," Bend knees slightly and bend over bar with back straight. Grasp bar with shoulder width overhand grip.
pull bar to waist. return until arms are extended and shoulders are stretched forward. repeat.","back, general"
barbell underhand bent-over row,basic or auxiliary,compound,pull,"Bend knees slightly and bend over bar with back straight. Grasp bar with underhand grip.
pull bar to waist. return until arms are extended and shoulders are stretched downward. repeat.","back, general"
cable straight back incline row,basic or auxiliary,compound,pull," Sit on incline and place feet on lower bar, or foot platform. Slide hips down by bending knees. Bend over and grasp cable attachment. Slide hips back, positioning knees with slight bend. Straighten lower back so it is approximately perpendicular to incline.
pull cable attachment to waist. pull shoulders back and lift chest by arching back. return until arms are extended, back is straight and perpendicular to incline, and shoulders are stretched forward. repeat.","back, general"
cable one arm seated row,basic or auxiliary,compound,pull," Sit slightly forward on platform or secured bench in order to grasp cable stirrup with one hand. Position hips back with knees slightly bent


. Allow shoulder with stirrup to be pulled forward.
pull cable attachment to side of torso, slightly twisting through waist. pull shoulder back and push chest forward during contraction. return until arm is extended and shoulder is stretched forward. repeat. continue with opposite arm.","back, general"
cable one arm seated high row,basic or auxiliary,compound,pull," Sit slightly forward on platform or secured bench close to cable attachment. Bend forward and grasp cable stirrup with one hand. Slide hips back by positioning knees with slight bend. Allow arm, shoulder, and torso to be pulled forward under weight on cable.
pull cable attachment to side of torso, straightening back and leaning back slightly. pull shoulder back and push chest forward during contraction. return until arm is extended and torso is pulled forward. repeat. continue with opposite arm.","back, general"
cable seated high row,basic,compound,pull,"Sit slightly forward on bench or platform in order to


grasp cable attachment. Place feet on vertical platform. Slide hips back positioning knees with slight bend. Allow weight on cable to pull torso forward while stretching arms and shoulders upward.
pull cable attachment to waist and lean back slightly. pull shoulders back and push chest forward while arching back. return until torso, arms, and shoulders pulled forward. repeat.","back, general"
cable seated row,basic,compound,pull,"Sit slightly forward on seat or bench in order to   grasp cable attachment. Place feet on vertical platform. Slide hips back positioning knees with slight bend.pull cable attachment to waist while straightening lower back. pull shoulders back and push chest forward while arching back. return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. repeat.","back, general"
cable wide grip seated row,basic or auxiliary,compound,pull,"Sit slightly forward on platform in order to grasp cable attachment. With awider than shoulder width grip, slide hips back positioning knees with slight bend.pull cable attachment to waist while pulling torso upright.   pull shoulders back and push chest forward while arching back. return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. repeat.","back, general"
cable standing row,basic or auxiliary,compound,pull," Stand to side of medium height, rotating pulley. Place hand shoulder height or slightly lower on support bar with arm straight. Place foot nearest supporting arm forward with knee slightly bent and opposite foot back. Grasp cable stirrup with one hand, allowing shoulder to be pulled forward under weight on cable.
pull cable attachment to side of torso while pulling shoulder back, arching spine, and pushing chest forward. return until arm is extended and shoulder is pulled forward. repeat. continue with opposite arm.","back, general"
cable twisting standing high row,auxiliary,compound,pull," Stand facing high pulley positioned slightly above head level. Grasp stirrup with one hand and step back so arm is straight. With leg of opposite side as loaded arm, plant forefoot far back on floor. Slightly bend knee of forward leg, same direction as foot. Allow shoulder with stirrup to be pulled forward with twist through waist.
pull cable attachment to side of torso and rotate body toward side of pulling arm. pull shoulder back and push chest forward. return until arm is extended and shoulder is pulled forward. repeat. continue with opposite arm.","back, general"
lever barbell bent-over row (plate loaded),basic or auxiliary,compound,pull,"Stand with toes under bar facing fulcrum. Bend knees slightly and bend over bar with back straight. Grasp bar with wide overhand grip.
pull bar to waist. return until arms are extended and shoulders are stretched downward. repeat.","back, general"
lever one arm bent-over row (plate loaded),basic or auxiliary,compound,pull,"Kneel over side of bench facing loaded side of lever bar by placing knee and hand of supporting arm on bench. Position foot of opposite leg slightly back to side, straddling bar. Grasp bar from floor, several inches under barbell plates.
pull lever bar up to side until bar contacts shoulder or just until elbow travels behind height of back. return until arm is extended and shoulder is stretched downward. repeat and continue with opposite arm.","back, general"
lever wide grip bent-over row (plate loaded),basic,compound,pull,"With lever handles to sides, bend knees slightly and bend over with back straight. Grasp wider handles.
pull lever handles up to sides. return until arms are extended and shoulders are stretched downward. repeat.","general, back"
lever close grip incline row (plate loaded),basic,compound,pull, Lie chest on inclined platform and grasp lever close grip handles.pull lever up as high as possible. return until arms are extended and shoulders are stretched downward. repeat.,"back, general"
lever narrow grip seated row (plate loaded),basic,compound,pull,"Sit on seat and position chest against pad. Grasp lever handles with underhand grip.
pull levers back until elbows are behind back and shoulders are pulled back. return until arms are extended and shoulders are stretched forward. repeat.","back, general"
"lever wide grip seated row (high bar, plate loaded)",basic,compound,pull,"Sit on seat and position chest against pad. Grasp lever handles with underhand grip.
pull levers back until elbows are behind back and shoulders are pulled back. return until arms are extended and shoulders are stretched forward. repeat.","back, general"
"lever straight back seated row (no chest pad, plate loaded)",basic,compound,pull,"Sit on seat with feet positioned on foot bar or platform. Grasp handles with each hand. Position torso upright with knees bent slightly.
pull handles to body. pull shoulders back and lift chest by arching back. return until arms are extended, back is straight, and shoulders are stretched forward. repeat.","back, general"
lever seated low row (plate loaded),auxiliary,compound,pull,"Sit on seat and position chest against pad. Grasp lever handles with overhand/neutral grip.
pull levers back until elbows are behind back and shoulders are pulled back. return until arms are extended and shoulders are stretched forward. repeat.","back, general"
lever seated high row (plate loaded),basic,compound,pull,"Sit on seat and position chest against pad. Grasp lever handles with overhand grip.
pull lever back until elbows are behind back and shoulders are pulled back. return until arms are extended and shoulders are stretched forward. repeat.","back, general"
lever underhand seated row (plate loaded),basic,compound,pull,"Sit on seat and position chest against pad. Grasp lever handles with underhand grip.
pull levers back until elbows are behind back and shoulders are pulled back. return until arms are extended and shoulders are stretched forward. repeat.","back, general"
lever t-bar row (plate loaded),basic,compound,pull,"Bend knees slightly and bend over lever handles with back straight. Grasp lever handles with shoulder width to wide overhand grip.
pull lever up to torso. return until arms are extended and shoulders are stretched downward. repeat.","general, back"
lever close grip t-bar row (plate loaded),basic,compound,pull,"Bend knees slightly and bend over lever handles with back straight. Grasp parallel lever handles.
pull handles up to waist. return until arms are extended and shoulders are stretched downward. repeat.","back, general"
lever alternating seated high row,basic or auxiliary,compound,pull,"Sit on seat and position chest against pad. Grasp lever handles with overhand grip.
pull one lever handle back until elbow is behind back and shoulder is pulled back. return until arm is extended and shoulder is stretched forward. repeat with opposite arm, alternating between sides.","back, general"
lever seated high row,basic,compound,pull,"Sit on seat and position thighs under pad. Lean

forward

and grasp lever handles above.
pull lever down while leaning back slightly. as elbows travel to sides, lift chest slightly and pull shoulders and elbows back. return until arms are extended and body and shoulders are stretched forward. repeat.","back, general"
lever wide grip seated row,basic,compound,pull,"Sit on seat and position chest against pad. Grasp outer lever handles with overhand grip.
pull lever back until elbows are behind back and shoulders are pulled back. return until arms are extended and shoulders are stretched forward. repeat.","back, general"
lever straight back seated row (no chest pad),basic,compound,pull,"Sit on seat with feet positioned on foot bar or platform. Grasp handles with each hand. Position torso upright with knees bent slightly.
pull handles to body. pull shoulders back and lift chest by arching back. return until arms are extended, back is straight, and shoulders are stretched forward. repeat.","back, general"
lever underhand seated row,basic,compound,pull,"Sit on seat and position chest against pad. Grasp lever handles with underhand grip.
pull levers back until elbows are behind back and shoulders are pulled back. return until arms are extended and shoulders are stretched forward. repeat.","back, general"
lever alternating underhand seated row,basic or auxiliary,compound,pull,"Sit on seat and position chest against pad. Grasp lever handles with underhand grip.
pull one lever handle back until elbow is behind back and shoulder is pulled back. return until arm is extended and shoulder is stretched forward. repeat with opposite arm, alternating between sides.","back, general"
inverted row (feet elevated),basic or auxiliary,compound,pull,"Lay on back under fixed horizontal bar. Grasp bar with wide overhand grip. Place back of heels on elevated surface.
keeping body straight, pull body up to bar. return until arms are extended and shoulders are stretched forward. repeat.","back, general"
inverted row (high bar),basic or auxiliary,compound,pull," Stand facing arms length away from waist to head height horizontal bar. Grasp bar with wide overhand grip. Position body under bar with legs, hips and spine straight. Arms should be straight, approximately perpendicular to body. Heels should make contact with floor.
keeping body straight, pull body up to bar. return until arms are extended and shoulders are stretched forward. repeat.","back, general"
inverted row (on hips),basic or auxiliary,compound,pull," Lay on back with belly under fixed horizontal bar. Bend knees and position feet on floor. Grasp bar with wide overhand grip.
fixed bar should be just high enough to allow arm to fully extend. see gravity vectors for greater understanding of how body angle influences resistance. also known as body row on hips or supine row on hips.","back, general"
suspended bent-knee inverted row,basic or auxiliary,compound,pull,"Position suspension handles higher than arms' length above floor. Sit on floor and grasp handles. Hang shoulders under handles with arms straight, back and hips straight, with knees bent and feet flat on floor.
pull body up so sides of chest make contact with handles while keeping body straight. return until arms are extended straight and shoulders are stretched forward. repeat.","back, general"
machine-assisted parallel close grip pull-up (standing),basic,compound,pull,"Step up and grasp parallel grips. Step down onto assistance lever or platform.
pull body up until elbow are to sides. lower body until arms and shoulders are fully extended. repeat.",latissimus dorsi
machine-assisted pull-up (open-centered bar),basic,compound,pull,"Step up and grasp bar with wide overhand grip. Kneel on padded platform and lower body down with arm extended.
pull body up until neck reaches height of hands. lower body until arms and shoulders are fully extended. repeat.",latissimus dorsi
"machine-assisted pull-up (open-centered bar, standing)",basic,compound,pull,"Step up and grasp bar with wide overhand grip. Step down onto assistance lever or platform.
pull body up until neck reaches height of hands. lower body until arms and shoulders are fully extended. repeat.",latissimus dorsi
barbell bent arm pullover,auxiliary,isolated,pull,"Lie upper back perpendicular on bench. Flex hips slightly. Grasp barbell from behind and position over chest with elbows bent approximately 90°.
with elbow bent, lower bar over and just behind head until upper arm is approximately parallel to torso. return and repeat.",latissimus dorsi
cable alternating close grip pulldown,basic or auxiliary,compound,pull,"Grasp stirrups in each hand. Sit with thighs under supports.
pull down one cable attachment to side of chest. return until arm and shoulder is fully extended. repeat with opposite arm, alternating between sides.",latissimus dorsi
cable one arm pulldown,basic or auxiliary,compound,pull,"Grasp stirrup in one hand. Sit with thighs under supports.pull down cable attachment to side of chest. return until arm and shoulder is fully extended, allowing shoulder to raise. repeat and continue with other arm.",latissimus dorsi
cable close grip pulldown (stirrups),basic,compound,pull,"Grasp stirrups in each hand. Sit with thighs under supports.
pull down cable attachments to sides of chest. return until arms and shoulders are fully extended. repeat.",latissimus dorsi
cable alternating pulldown,basic or auxiliary,compound,pull,"Grasp stirrups in each hand. Sit with thighs under supports.
pull down one cable attachment to front side shoulder. return until arm and shoulder are fully extended. repeat with opposite arm, alternating between sides.",latissimus dorsi
cable pulldown (pro lat bar),basic,compound,pull," Grasp pro lat bar with wide parallel grip. Sit with thighs under supports.
pull down cable bar to upper chest. return until arms and shoulders are fully extended. repeat.",latissimus dorsi
cable pulldown (stirrups),basic,compound,pull,"Grasp stirrups in each hand. Sit with thighs under supports.
pull down cable attachments to front sides of shoulders. return until arms and shoulders are fully extended. repeat.",latissimus dorsi
cable bent-over pullover,auxiliary,isolated,pull,"Face high pulley and grasp revolving cable attachment with arm slightly bent. Place one foot slightly back and bend over at hip until shoulder is fully flexed (upper arms at sides of head).
with elbows fixed approximately 30°, pull cable attachment down until upper arms are to sides. return attachment overhead. repeat.",latissimus dorsi
cable seated pullover,auxiliary,isolated,pull,"Sit on bench facing away from cable pulley apparatus. Grasp revolving cable attachment over head with overhand grip.
with elbows fixed with slight bend, pull cable attachment forward and down as far as possible. return cable attachment forward and overhead. repeat.",latissimus dorsi
cable pull-up,basic,compound,pull,"Place dip belt around waist. Kneel close to low pulley or lever and attach hook to dip belt. Step up and grasp bars with overhand wide grip. Lift legs off of steps or floor.
pull body up until chin is above bar. lower body until arms and shoulders are fully extended. repeat.",latissimus dorsi
cable parallel close grip pull-up,basic,compound,pull,"Place dip belt around waist. Kneel as close as possible to low pulley or lever and attach hook to dip belt in front between legs. Step up and grasp close grip p


arallel bars with hands facing inward. Lift legs off of steps or floor.
pull body up until elbow are to sides. lower body until arms and shoulders are fully extended. repeat.",latissimus dorsi
cable parallel grip pull-up,basic,compound,pull,"Place dip belt around waist. Kneel as close as possible to low pulley or lever and attach hook to dip belt in front between legs. Step up and grasp parallel bars with hands facing inward. Lift legs off of steps or floor.
pull body up until elbow are to sides. lower body until arms and shoulders are fully extended. repeat.",latissimus dorsi
cable chin-up,basic,compound,pull,"Place dip belt around waist. Kneel close to low pulley or lever and attach hook to dip belt chains. Step up and grasp bars with shoulder width underhand grip. Lift legs off of steps or floor.
pull body up until elbow are to sides. lower body until arms and shoulders are fully extended. repeat.",latissimus dorsi
cable rear pull-up,basic,compound,pull,"Place dip belt around waist. Kneel close to low pulley or lever and attach hook to dip belt. Step up and grasp bars with overhand wide grip. Lift legs off of steps or floor.
pull body up until bar touches back of neck. lower body until arms and shoulders are fully extended. repeat.",latissimus dorsi
lever underhand pulldown (plate loaded),basic,compound,pull,"Grasp lever bar with underhand grip. Sit with thighs under supports.
pull down lever handles toward sides until elbows are to sides. return until arms and shoulders are fully extended. repeat.",latissimus dorsi
lever close grip pulldown,basic,compound,pull,"Grasp parallel lever bars. Sit with thighs under supports.
pull down handles to sides of chest while leaning back slightly. return until arms and shoulders are fully extended. repeat.",latissimus dorsi
lever pulldown,basic,compound,pull,"Sit on seat. Reach up and grasp handles with overhand grip.
pull levers down to sides of shoulders. return until arms and shoulders are fully extended. repeat.",latissimus dorsi
lever pulldown (parallel grip),basic,compound,pull,"Sit on seat. Reach up and grasp parallel handles.
pull levers down to sides of shoulders. return until arms and shoulders are fully extended. repeat.",latissimus dorsi
lever underhand pulldown,basic,compound,pull,"Grasp lever handles with underhand grip. Sit with thighs under supports.
pull down lever handles to upper chest until elbows are to sides. return until arms and shoulders are fully extended. repeat.",latissimus dorsi
lever alternating underhand pulldown,basic,compound,pull,"Grasp lever handles with underhand grip. Sit with thighs under supports.
pull down one lever handle to side until elbow is down to side. return until arm and shoulder are fully extended. repeat with opposite arm. continue to alternate pulldown between arms.",latissimus dorsi
weighted pull-up (neutral grip),basic,compound,pull,"Step up and grasp bar with neutral grip.
pull body up until neck reaches height of hands. lower body until arms and shoulders are fully extended. repeat.",latissimus dorsi
weighted pull-up (open-centered bar),basic,compound,pull,"Reach up and grasp bar with wide overhand grip.
pull body up until neck reaches height of hands. lower body until arms and shoulders are fully extended. repeat.",latissimus dorsi
band-assisted neutral grip pull-up,basic,compound,pull,Grab each side of hanging exercise band with both hands. Stretch exercise band down and step onto bottom inside of band with one foot. Stretch band down further by extending leg straight down. Reach up and grasp bar with neutral grip while keeping banded leg straight.pull body up until neck reaches height of hands. lower body until arms and shoulders are fully extended. repeat.,latissimus dorsi
pull-up (neutral grip),basic,compound,pull,Step up and grasp bar with neutral grip.pull body up until neck reaches height of hands. lower body until arms and shoulders are fully extended. repeat.,latissimus dorsi
pull-up (open-centered bar),basic,compound,pull,Reach up and grasp bar with wide overhand grip.pull body up until neck reaches height of hands. lower body until arms and shoulders are fully extended. repeat.,latissimus dorsi
suspended self-assisted pull-up,basic,compound,pull," Stand facing suspension handles placed at neck height. Grasp handles and position feet forward on floor, slightly in front of handles.
lower body under handles until arms and shoulders are fully extended. if necessary, use minimal assistance of lower body to control descent, allowing knees and hips to bend, keeping flat on floor. pull body up until chin is just above handles, again with minimal assistance from legs. repeat.",latissimus dorsi
trap bar shrug (elevated stand),basic,isolated,pull,"Step into elevated trap bar stand. Bend down and grasp handles of apparatus to sides. Stand upright.
elevate shoulders as high as possible. lower and repeat.","trapezius, upper"
cable bar shrug,basic,isolated,pull,"Position adjustable pulleys at low position. Stand close to cable bar and grasp with shoulder width or slightly wider overhand grip.
elevate shoulders as high as possible. lower and repeat.","trapezius, upper"
cable shrug (dual pulley),basic or auxiliary,isolated,pull," Stand between two low pulleys and grasp stirrups to each side. Stand upright with arms straight down to each side.
with arms straight, elevate shoulders as high as possible. lower and repeat.","trapezius, upper"
cable shrug (with stirrups),basic or auxiliary,isolated,pull,"Stand between two low pulleys and grasp stirrups to each side. Stand upright with arms straight down to each side.
with arms straight, elevate shoulders as high as possible. lower and repeat.","trapezius, upper"
cable one arm shrug,auxiliary,isolated,pull,"Grasp stirrup with one hand and stand close to low pulley to side.with arms straight, elevate shoulder as high as possible. lower and repeat.","trapezius, upper"
lever barbell shrug (plate loaded),basic,isolated,pull,"Stand behind bar mid-thigh height. Stand grasping bar with shoulder width or slightly wider overhand grip. Disengage bar by rotating bar back and stand upright.
elevate shoulders as high as possible. lower and repeat.","trapezius, upper"
lever narrow grip shrug (plate loaded),basic,isolated,pull,"Stand very near to close lever handles. Bend over and grasp handles with each hand. Stand upright.
elevate shoulders as high as possible. lower and repeat.","trapezius, upper"
cable standing shoulder external rotation,auxiliary,isolated,pull,"Stand with side to elbow height cable pulley. Grasp stirrup attachment with far arm. Position elbow against side and forearm across belly.
pull cable attachment away from body as far as possible by externally rotating shoulder. return and repeat. turn around and continue with opposite arm.",infraspinatus
dumbbell incline shoulder external rotation,auxiliary,isolated,pull,"Lie high up on low incline bench or reverse on decline bench on side with arm pit over leg pad (as demonstrated). Position legs lower on bench for support. Grasp dumbbell and position elbow against side and forearm across belly.
lift dumbbell upright above elbow by rotating shoulder. return and repeat. flip body over and continue with opposite arm.",infraspinatus
dumbbell upright shoulder external rotation (with support),auxiliary,isolated,pull,"Stand or sit with side against chest height platform. With dumbbell in hand, position upper arm horizontally on platform, elbow bent so forearm is upright.
lower dumbbell forward by rotating shoulder. return and repeat. continue with opposite arm.",teres minor
dumbbell shoulder internal rotation (on bench),auxiliary,isolated,pull,"Hold dumbbell in one hand. Lie on bench close to edge on side with dumbbell in hand. Position elbow on edge of bench against side of body with elbow bent approximately 90°. Position legs on bench for support.
maintaining 90° bend in elbow, lower dumbbell away from body until slight stretch is felt in shoulder. lift dumbbell toward body by internally rotating shoulder until forearm is across belly. continue with opposite arm.",subscapularis
dumbbell shoulder internal rotation (on floor),auxiliary,isolated,pull,"Hold dumbbell in one hand. Lie on mat with dumbbell in hand. Position upper arm on mat close to body. Bend elbow approximately 90° with dumbbell held upright above elbow.
maintaining 90° bend in elbow, lower dumbbell toward floor until slight stretch is felt in shoulder. lift dumbbell toward body by internally rotating shoulder until forearm is vertical and repeat. continue with opposite arm.",subscapularis
machine-assisted chest dip,basic,compound,push,"Mount wide dip bar with oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Step down onto assistance lever with hips and knees bent.
lower body by bending arms, allowing elbows to flare out to sides. when slight stretch is felt in chest or shoulders, push body up until arms are straight. repeat.","pectoralis major, sternal"
barbell bench press,basic,compound,push,"Lie supine on bench. Dismount barbell from rack over upper chest using wide oblique overhand grip.
lower weight to chest. press bar upward until arms are extended. repeat.","pectoralis major, sternal"
barbell decline bench press,basic or auxiliary,compound,push,"Lie supine on decline bench with feet under leg brace. Dismount barbell from rack over chest using wide oblique overhand grip.
lower weight to chest. press bar until arms are extended. repeat.","pectoralis major, sternal"
cable chest dip,basic,compound,push,"Step between wide dip bars with dip belt around waist. Kneel as close as possible to low pulley and attach cable to dip belt. Stand up and mount dip bar with oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Keep hips and knees bent.
lower body by bending arms, allowing elbows to flare out to sides. when slight stretch is felt in chest or shoulders, push body up until arms are straight and repeat.","pectoralis major, sternal"
dumbbell bench press,basic,compound,push," Sit down on bench with dumbbells resting on lower thigh. Kick weights to shoulder and lie back. Position dumbbells to sides of chest with bent arm under each dumbbell.
press dumbbells up with elbows to sides until arms are extended. lower weight to sides of chest until slight stretch is felt in chest or shoulder. repeat.","pectoralis major, sternal"
dumbbell decline bench press,basic or auxiliary,compound,push,"Sit down on decline bench with feet under leg brace and dumbbells resting on thigh. Lie back with dumbbells. Position dumbbells to sides of chest with bent arm under each dumbbell.
press dumbbells up with elbows to sides until arms are extended. lower weight to sides of chest until slight stretch is felt in chest or shoulder. repeat.","pectoralis major, sternal"
dumbbell decline fly,auxiliary,isolated,push,"Grasp two dumbbells. Lie supine on decline bench. Support dumbbells above upper abdomen with arms fixed in slightly bent position. Internally rotate shoulders so elbows are to sides.
lower dumbbells to sides until chest muscles are stretched with elbows fixed. bring dumbbells together in wide hugging motion until dumbbells are nearly together. repeat.","pectoralis major, sternal"
dumbbell fly,auxiliary,isolated,push,"Grasp two dumbbells. Lie supine on bench. Support dumbbells above chest with arms fixed in slightly bent position. Internally rotate shoulders so elbows point out to sides.
lower dumbbells to sides until chest muscles are stretched with elbows fixed in slightly bent position. bring dumbbells together in wide hugging motion until dumbbells are nearly together. repeat.","pectoralis major, sternal"
dumbbell pullover,auxiliary,isolated,push,"Lie on upper back perpendicular to bench. Flex hips slightly. Grasp one dumbbell from behind or from side with both hands under inner plate of dumbbell. Position dumbbell over chest with elbows slightly bent.
keeping elbows slightly bent throughout movement, lower dumbbell over and beyond head until upper arms are in-line with torso. pull dumbbell up and over chest. repeat.","pectoralis major, sternal"
lever bench press (plate loaded),basic,compound,push,"Lie supine on bench with chest under lever bar. Grasp lever bar with wide oblique overhand grip.
press bar until arms are extended. lower weight to upper chest. repeat.","pectoralis major, sternal"
lever chest dip (plate loaded),basic,compound,push,"Sit on seat and grasp handles with oblique grip. If possible, place handles in wide position. Lean forward slightly.
push lever down with elbows away from body. return until chest is slightly stretched. repeat.","pectoralis major, sternal"
lever chest press (plate loaded),basic,compound,push,Sit on seat with chest approximately height of handles. Grasp handles with wide overhand grip; elbows out to sides just below shoulders.press levers until arms are extended. return weight until chest muscles are slightly stretched. repeat.,"pectoralis major, sternal"
lever decline chest press (plate loaded),basic or auxiliary,compound,push,"Sit on seat with handles lower chest height. Grasp handle with wide overhand grip; elbows out to sides just below shoulders.
press lever until arms are extended. return weight until chest muscles are slightly stretched. repeat.","pectoralis major, sternal"
lever wide grip chest press (plate loaded),basic,compound,push,"Sit on seat with chest approximately height of handles. Grasp handles with wide overhand grip and elbows out to sides.
press lever until arms are extended. return weight until chest muscles are slightly stretched. repeat.","pectoralis major, sternal"
smith bench press,basic,compound,push,"Lie supine on bench with chest under bar. Grasp bar with wide oblique overhand grip. Disengage bar by rotating bar back.
lower weight to chest. press bar until arms are extended. repeat.","pectoralis major, sternal"
smith decline bench press,basic or auxiliary,compound,push,"Lie supine on decline bench with feet under leg brace and chest under bar. Grasp bar with wide oblique overhand grip. Disengage bar by rotating bar back.
lower weight to chest. press bar until arms are extended. repeat.","pectoralis major, sternal"
weighted chest dip,basic,compound,push,"Place weight on dip belt around waist or place dumbbell between lower legs just above feet. Mount wide dip bar with oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Keep hips and knees bent.
lower body by bending arms, allowing elbows to flare out to sides. when slight stretch is felt in chest or shoulders, push body up until arms are straight. repeat.","pectoralis major, sternal"
weighted push-up,basic or auxiliary,compound,push,"Lie prone on floor with hands slightly wider than shoulder width. Raise body up off floor by extending arms with body straight. Partner can place weight plate(s) on back if needed.
keeping body straight, lower body to floor by bending arms. push body up until arms are extended. repeat.","pectoralis major, sternal"
chest dip,basic,compound,push,"Mount wide dip bar with oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Bend knees and hips slightly.lower body by bending arms, allowing elbows to flare out to sides. when slight stretch is felt in chest or shoulders, push body up until arms are straight. repeat.","pectoralis major, sternal"
push-up,basic or auxiliary,compound,push,"Lie prone on floor with hands slightly wider than shoulder width. Raise body up off floor by extending arms with body straight.keeping body straight, lower body to floor by bending arms. push body up until arms are extended. repeat.","pectoralis major, sternal"
self-assisted chest dip,basic,compound,push,"Stand on bench or elevation between parallel bars. Mount wide dip bar with oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Bend knees and hips slightly and place forefoot on bench or elevation below.
lower body by bending arms, allowing elbows to flare out to sides. if necessary, use minimal assistance of lower body to control descent, allowing knees and hips to bend, keeping forefeet in contact with bench or elevation. when slight stretch is felt in chest or shoulders, push body up until arms are straight and repeat, again with minimal assistance from legs.","pectoralis major, sternal"
suspended chest dip,basic,compound,push,"Stand between two suspension handles and grasp handles on each side of torso. Hold position firmly and lift feet from floor.
push body up until arms are straight. lower body until slight stretch is felt in shoulders. repeat.","pectoralis major, sternal"
suspended chest press,basic or auxiliary,compound,push,"Grasp handles and step forward between suspension trainers. Position arms downward and slightly forward, nearly parallel with suspension straps. Lean forward, placing upper body weight onto handles with arms straight, while stepping back onto forefeet so body is leaning forward at desired angle. Straighten body so torso is in-line with legs.
lower body by bending arms while keeping body straight. allow handles to come apart slightly to keep in-line with elbows flaring out. stop descent once mild stretch is felt through shoulders or chest. push body up to original position, allowing handles to travel inward to keep in line with elbows converging until arms are fully extended. repeat.","pectoralis major, sternal"
suspended fly,auxiliary,isolated,push,"Grasp handles and step forward between suspension trainer. Position arms downward and slightly forward, nearly parallel with suspension straps. Lean forward, placing upper body weight onto handles with arms straight, while stepping back onto forefeet, so body is leaning forward at desired angle. Straighten body so torso is in-line with legs. Bend elbows slightly and internally rotate shoulders, so elbows are pointed outward to each side.
lower body by allowing suspension handles to separate outward until mild stretch is felt in chest. reverse motion by bringing handles back together in hugging motion. repeat.","pectoralis major, sternal"
barbell incline bench press,basic or auxiliary,compound,push,"Lie supine on incline bench. Dismount barbell from rack over upper chest using wide oblique overhand grip.
lower weight to upper chest. press bar until arms are extended. repeat.","pectoralis major, clavicular"
cable incline bench press,basic or auxiliary,compound,push,"Sit on seat and grasp stirrups to each side (attached to low cable pulleys). Lie back on incline back support. Position stirrups out to each side of chest with bent arm under each wrist.
push stirrups up over each shoulder until arms are straight and parallel to one another. return stirrups to original position, until slight stretch is felt in chest or shoulders. repeat.","pectoralis major, clavicular"
cable incline chest press,basic or auxiliary,compound,push,"Sit on seat and grasp stirrups to each side (attached to medium height pulleys). Position elbows out to sides, slightly lower than shoulder height. Position hands back approximately shoulder height and elbow width.
push stirrups away from body, slightly upward at 30º to 45º until arms are straight and parallel to one another. return stirrups to original position until slight stretch is felt in chest or shoulders. repeat.","pectoralis major, clavicular"
cable standing incline chest press,auxiliary,compound,push,"Stand between two hip height pulleys, facing away from cable columns. Grasp cable stirrups from each side. Position elbows out to sides, lower chest height. Position hands back approximately shoulder height and elbow width. Lean and step forward with one foot in front bending forward knee.
push stirrups forward and upward at 30º to 45º angle until arms are straight and parallel to one another. return stirrups to original position until slight stretch is felt in chest or shoulders. repeat.","pectoralis major, clavicular"
cable incline fly,auxiliary,isolated,push,"Sit on seat with stirrups in each hand (attached to low cable pulleys). Lie back on incline back support. Position stirrups out to each side of chest with bent arm under each wrist. Press stirrups over each shoulder until arms vertical. Bend elbows slightly and internally rotate shoulders so elbows point out to sides.
lower stirrups outward to sides of shoulders. keep elbows fixed in slightly bent position. when a stretch is felt in chest or shoulders, bring stirrups back together in hugging motion above upper chest until stirrups are nearly together repeat.","pectoralis major, clavicular"
cable standing incline fly,auxiliary,isolated,push,"Stand between two pulleys position hip height and arms width or slightly wider apart. Grasp stirrups, one in each hand. Extend arms out with elbows slightly bent, pointed back and downward slightly. Step forward until cables are taut or when weights are lifted up slightly. Stand with feet staggered.
keeping elbows fixed in slightly bent position, bring stirrups together in upwardly arching, hugging motion, at 30º to 45º angle until they meet at top of motion. lower stirrups to original position in reverse pattern. as soon as stretch is felt in chest or shoulders, repeat motion.","pectoralis major, clavicular"
